Species	Gene	Count
Neomicropteryx_cornuta	Abd-B	1
Neomicropteryx_cornuta	abd-A	1
Neomicropteryx_cornuta	Ubx	1
Neomicropteryx_cornuta	Antp	1
Neomicropteryx_cornuta	ftz	1
Neomicropteryx_cornuta	Scr	1
Neomicropteryx_cornuta	Dfd	1
Neomicropteryx_cornuta	zen	5
Neomicropteryx_cornuta	Shx	0
Neomicropteryx_cornuta	Pb	1
Neomicropteryx_cornuta	Ro	1
Neomicropteryx_cornuta	lab	1
Neomicropteryx_cornuta	eve	1
Neomicropteryx_cornuta	exex	1
Neomicropteryx_cornuta	unpg	1
Neomicropteryx_cornuta	ind	1
Neomicropteryx_cornuta	btn	1
Neomicropteryx_cornuta	cad	1
Neomicropteryx_cornuta	Lbx	1
Neomicropteryx_cornuta	NK3	1
Neomicropteryx_cornuta	NK4	1
Neomicropteryx_cornuta	Msx	2
Neomicropteryx_cornuta	Hmx	1
Neomicropteryx_cornuta	Tlx	1
Neomicropteryx_cornuta	NK1	1
Neomicropteryx_cornuta	Emx	2
Neomicropteryx_cornuta	Abox	1
Neomicropteryx_cornuta	Barhl	1
Neomicropteryx_cornuta	Bari	1
Neomicropteryx_cornuta	En	2
Neomicropteryx_cornuta	Nedx	1
Neomicropteryx_cornuta	Dlx	1
Neomicropteryx_cornuta	NK6	1
Neomicropteryx_cornuta	NK7	1
Neomicropteryx_cornuta	Hhex	1
Neomicropteryx_cornuta	NK2.1	1
Neomicropteryx_cornuta	Bsx	1
Neomicropteryx_cornuta	Dbx	1
Neomicropteryx_cornuta	Msxlx	1
Neomicropteryx_cornuta	Hlx	1
Neomicropteryx_cornuta	Noto	1
Neomicropteryx_cornuta	NK2.2	1
Neomicropteryx_cornuta	Uncx	1
Neomicropteryx_cornuta	Pitx	1
Neomicropteryx_cornuta	Gsc	1
Neomicropteryx_cornuta	Phox	1
Neomicropteryx_cornuta	Pax4/6	4
Neomicropteryx_cornuta	Hbn	2
Neomicropteryx_cornuta	Rax	1
Neomicropteryx_cornuta	Otp	1
Neomicropteryx_cornuta	CG11294	1
Neomicropteryx_cornuta	Shox	1
Neomicropteryx_cornuta	Arx	3
Neomicropteryx_cornuta	Repo	0
Neomicropteryx_cornuta	Prrx	1
Neomicropteryx_cornuta	Vsx	2
Neomicropteryx_cornuta	Prop	1
Neomicropteryx_cornuta	Drgx	1
Neomicropteryx_cornuta	Pax3/7	2
Neomicropteryx_cornuta	Otx	2
Neomicropteryx_cornuta	Lhx2/9	2
Neomicropteryx_cornuta	Lhx6/8	1
Neomicropteryx_cornuta	Lmx	1
Neomicropteryx_cornuta	Lhx1/5	1
Neomicropteryx_cornuta	Lhx3/4	1
Neomicropteryx_cornuta	Isl	1
Neomicropteryx_cornuta	Pou3	1
Neomicropteryx_cornuta	Pou4	1
Neomicropteryx_cornuta	Pou2	1
Neomicropteryx_cornuta	Pou6	1
Neomicropteryx_cornuta	Six3/6	1
Neomicropteryx_cornuta	Six1/2	1
Neomicropteryx_cornuta	Six4/5	1
Neomicropteryx_cornuta	Meis	1
Neomicropteryx_cornuta	Irx	2
Neomicropteryx_cornuta	Pbx	1
Neomicropteryx_cornuta	Tgif	1
Neomicropteryx_cornuta	Mkx	0
Neomicropteryx_cornuta	Cmp	1
Neomicropteryx_cornuta	Onecut	1
Neomicropteryx_cornuta	Cux	1
Neomicropteryx_cornuta	Prox	1
Neomicropteryx_cornuta	Zfhx	2
Neomicropteryx_cornuta	Cers	1
Tinea_semifulvella	Abd-B	1
Tinea_semifulvella	abd-A	1
Tinea_semifulvella	Ubx	1
Tinea_semifulvella	Antp	1
Tinea_semifulvella	ftz	1
Tinea_semifulvella	Scr	1
Tinea_semifulvella	Dfd	1
Tinea_semifulvella	zen	1
Tinea_semifulvella	Shx	4
Tinea_semifulvella	Pb	1
Tinea_semifulvella	Ro	1
Tinea_semifulvella	exex	1
Tinea_semifulvella	unpg	1
Tinea_semifulvella	eve	1
Tinea_semifulvella	ind	1
Tinea_semifulvella	cad	1
Tinea_semifulvella	btn	1
Tinea_semifulvella	lab	1
Tinea_semifulvella	Tlx	1
Tinea_semifulvella	Msx	2
Tinea_semifulvella	NK4	1
Tinea_semifulvella	NK3	1
Tinea_semifulvella	Lbx	1
Tinea_semifulvella	NK1	1
Tinea_semifulvella	Hmx	1
Tinea_semifulvella	Emx	1
Tinea_semifulvella	NK6	1
Tinea_semifulvella	NK7	1
Tinea_semifulvella	Hhex	1
Tinea_semifulvella	Nedx	1
Tinea_semifulvella	Dlx	1
Tinea_semifulvella	En	2
Tinea_semifulvella	NK2.1	1
Tinea_semifulvella	Barhl	1
Tinea_semifulvella	Bari	1
Tinea_semifulvella	Bsx	1
Tinea_semifulvella	Dbx	1
Tinea_semifulvella	Abox	1
Tinea_semifulvella	NK2.2	1
Tinea_semifulvella	Noto	1
Tinea_semifulvella	Hlx	1
Tinea_semifulvella	Msxlx	1
Tinea_semifulvella	Pax4/6	3
Tinea_semifulvella	Phox	1
Tinea_semifulvella	CG11294	1
Tinea_semifulvella	Drgx	1
Tinea_semifulvella	Repo	2
Tinea_semifulvella	Prrx	1
Tinea_semifulvella	Otp	1
Tinea_semifulvella	Rax	1
Tinea_semifulvella	Pitx	2
Tinea_semifulvella	Arx	3
Tinea_semifulvella	Pax3/7	2
Tinea_semifulvella	Shox	1
Tinea_semifulvella	Otx	1
Tinea_semifulvella	Gsc	1
Tinea_semifulvella	Uncx	1
Tinea_semifulvella	Vsx	1
Tinea_semifulvella	Prop	1
Tinea_semifulvella	Lhx6/8	1
Tinea_semifulvella	Lmx	1
Tinea_semifulvella	Lhx2/9	2
Tinea_semifulvella	Lhx3/4	1
Tinea_semifulvella	Lhx1/5	1
Tinea_semifulvella	Isl	1
Tinea_semifulvella	Pou2	1
Tinea_semifulvella	Pou3	1
Tinea_semifulvella	Pou4	1
Tinea_semifulvella	Pou6	1
Tinea_semifulvella	Six3/6	1
Tinea_semifulvella	Six1/2	1
Tinea_semifulvella	Six4/5	1
Tinea_semifulvella	Meis	1
Tinea_semifulvella	Irx	2
Tinea_semifulvella	Pbx	1
Tinea_semifulvella	Tgif	1
Tinea_semifulvella	Cmp	1
Tinea_semifulvella	Onecut	1
Tinea_semifulvella	Cux	1
Tinea_semifulvella	Prox	1
Tinea_semifulvella	Zfhx	5
Tinea_semifulvella	Cers	1
Tinea_trinotella	Pb	1
Tinea_trinotella	Shx	4
Tinea_trinotella	zen	1
Tinea_trinotella	Dfd	1
Tinea_trinotella	Scr	1
Tinea_trinotella	ftz	1
Tinea_trinotella	Antp	1
Tinea_trinotella	Ubx	1
Tinea_trinotella	abd-A	1
Tinea_trinotella	Abd-B	1
Tinea_trinotella	lab	1
Tinea_trinotella	ind	1
Tinea_trinotella	cad	1
Tinea_trinotella	exex	1
Tinea_trinotella	eve	1
Tinea_trinotella	unpg	1
Tinea_trinotella	btn	1
Tinea_trinotella	Tlx	1
Tinea_trinotella	Msx	2
Tinea_trinotella	NK4	1
Tinea_trinotella	NK3	1
Tinea_trinotella	Lbx	1
Tinea_trinotella	NK1	1
Tinea_trinotella	Hmx	1
Tinea_trinotella	Emx	1
Tinea_trinotella	Hhex	1
Tinea_trinotella	NK7	1
Tinea_trinotella	NK6	1
Tinea_trinotella	Nedx	1
Tinea_trinotella	Dlx	1
Tinea_trinotella	En	2
Tinea_trinotella	NK2.1	1
Tinea_trinotella	Msxlx	1
Tinea_trinotella	Hlx	1
Tinea_trinotella	NK2.2	1
Tinea_trinotella	Barhl	1
Tinea_trinotella	Bari	1
Tinea_trinotella	Bsx	1
Tinea_trinotella	Dbx	1
Tinea_trinotella	Abox	1
Tinea_trinotella	Noto	1
Tinea_trinotella	Ro	1
Tinea_trinotella	Uncx	1
Tinea_trinotella	Gsc	1
Tinea_trinotella	Pitx	1
Tinea_trinotella	Otp	1
Tinea_trinotella	Rax	1
Tinea_trinotella	Hbn	1
Tinea_trinotella	Repo	1
Tinea_trinotella	Prrx	1
Tinea_trinotella	Shox	1
Tinea_trinotella	Arx	3
Tinea_trinotella	Pax4/6	3
Tinea_trinotella	Phox	1
Tinea_trinotella	Prop	1
Tinea_trinotella	Vsx	1
Tinea_trinotella	CG11294	1
Tinea_trinotella	Pax3/7	2
Tinea_trinotella	Drgx	1
Tinea_trinotella	Otx	1
Tinea_trinotella	Lhx6/8	1
Tinea_trinotella	Lmx	1
Tinea_trinotella	Lhx2/9	2
Tinea_trinotella	Lhx3/4	1
Tinea_trinotella	Lhx1/5	1
Tinea_trinotella	Isl	1
Tinea_trinotella	Pou2	1
Tinea_trinotella	Pou3	1
Tinea_trinotella	Pou4	1
Tinea_trinotella	Pou6	1
Tinea_trinotella	Six3/6	1
Tinea_trinotella	Six1/2	1
Tinea_trinotella	Six4/5	1
Tinea_trinotella	Meis	1
Tinea_trinotella	Irx	2
Tinea_trinotella	Pbx	2
Tinea_trinotella	Tgif	1
Tinea_trinotella	Onecut	1
Tinea_trinotella	Cux	1
Tinea_trinotella	Cmp	1
Tinea_trinotella	Prox	1
Tinea_trinotella	Zfhx	2
Tinea_trinotella	Cers	1
Ypsolopha_scabrella	lab	1
Ypsolopha_scabrella	Abd-B	1
Ypsolopha_scabrella	abd-A	1
Ypsolopha_scabrella	Ubx	1
Ypsolopha_scabrella	Antp	1
Ypsolopha_scabrella	ftz	1
Ypsolopha_scabrella	Scr	1
Ypsolopha_scabrella	Dfd	1
Ypsolopha_scabrella	zen	1
Ypsolopha_scabrella	Shx	4
Ypsolopha_scabrella	Pb	1
Ypsolopha_scabrella	Ro	1
Ypsolopha_scabrella	ind	1
Ypsolopha_scabrella	unpg	1
Ypsolopha_scabrella	exex	1
Ypsolopha_scabrella	eve	16
Ypsolopha_scabrella	cad	1
Ypsolopha_scabrella	btn	1
Ypsolopha_scabrella	Abox	1
Ypsolopha_scabrella	NK2.1	1
Ypsolopha_scabrella	Barhl	2
Ypsolopha_scabrella	En	2
Ypsolopha_scabrella	Dlx	1
Ypsolopha_scabrella	Nedx	1
