Species	Intergenic_dist
TinSemi	505295
TinSemi	546512
TinSemi	580174
TinSemi	182882
TinSemi	141639
TinSemi	120834
TinSemi	185471
TinSemi	3199
TinSemi	10072
TinSemi	5681
TinSemi	6856
TinSemi	292000
TinSemi	332899
TinTrin	196808
TinTrin	182003
TinTrin	217518
TinTrin	72803
TinTrin	52294
TinTrin	63724
TinTrin	98355
TinTrin	3215
TinTrin	9950
TinTrin	4369
TinTrin	3611
TinTrin	129635
TinTrin	227565
YpsScab	344264
YpsScab	325663
YpsScab	393662
YpsScab	131858
YpsScab	90331
YpsScab	101067
YpsScab	177171
YpsScab	9524
YpsScab	10200
YpsScab	2056
YpsScab	5945
YpsScab	184547
YpsScab	353827
ApoTurb	367482
ApoTurb	328815
ApoTurb	341795
ApoTurb	111156
ApoTurb	82987
ApoTurb	88096
ApoTurb	119592
ApoTurb	9625
ApoTurb	1831
ApoTurb	2624
ApoTurb	8360
ApoTurb	145517
ApoTurb	262760
HedSali	329363
HedSali	329362
HedSali	378446
HedSali	111279
HedSali	91551
HedSali	97730
HedSali	126591
HedSali	20201
HedSali	3336
HedSali	2707
HedSali	3662
HedSali	175764
HedSali	308620
HedSali	2183155
HedSali	3758
NotUddm	355183
NotUddm	343427
NotUddm	401462
NotUddm	128424
NotUddm	85726
NotUddm	114601
NotUddm	175498
NotUddm	23446
NotUddm	6559
NotUddm	11155
NotUddm	2932
NotUddm	10663
NotUddm	193030
NotUddm	334593
PamFasc	329742
PamFasc	264345
PamFasc	343050
PamFasc	103525
PamFasc	65843
PamFasc	99193
PamFasc	110909
PamFasc	6893
PamFasc	1557
PamFasc	2643
PamFasc	5662
PamFasc	145160
PamFasc	208691
CydSple	322802
CydSple	333246
CydSple	366778
CydSple	112679
CydSple	75124
CydSple	85207
CydSple	106537
CydSple	8027
CydSple	1887
CydSple	2542
CydSple	3429
CydSple	139306
CydSple	221296
ZygFili	243603
ZygFili	228514
ZygFili	258800
ZygFili	83400
ZygFili	62958
ZygFili	61830
ZygFili	71942
ZygFili	6183
ZygFili	1952
ZygFili	100735
ZygFili	198699
ZeuPyri	312249
ZeuPyri	302727
ZeuPyri	389532
ZeuPyri	131538
ZeuPyri	77338
ZeuPyri	84106
ZeuPyri	144520
ZeuPyri	28722
ZeuPyri	7244
ZeuPyri	7230
ZeuPyri	7232
ZeuPyri	7240
ZeuPyri	7249
ZeuPyri	7238
ZeuPyri	7269
ZeuPyri	7791
ZeuPyri	7243
ZeuPyri	7219
ZeuPyri	7239
ZeuPyri	7250
ZeuPyri	7133
ZeuPyri	23736
ZeuPyri	7236
ZeuPyri	7226
ZeuPyri	7791
ZeuPyri	7247
ZeuPyri	23719
ZeuPyri	7148
ZeuPyri	7133
ZeuPyri	8309
ZeuPyri	8310
ZeuPyri	4661
ZeuPyri	11335
ZeuPyri	9150
ZeuPyri	9868
ZeuPyri	165776
ZeuPyri	320431
SesApif	383390
SesApif	394668
SesApif	422453
SesApif	128569
SesApif	90231
SesApif	96013
SesApif	110533
SesApif	10619
SesApif	5727
SesApif	7226
SesApif	7236
SesApif	6667
SesApif	159570
SesApif	233252
BemIchn	324142
BemIchn	359319
BemIchn	362450
BemIchn	137307
BemIchn	104393
BemIchn	99963
BemIchn	102975
BemIchn	8755
BemIchn	6639
BemIchn	5095
BemIchn	184250
BemIchn	320147
SynVesp	239303
SynVesp	247185
SynVesp	284875
SynVesp	91698
SynVesp	60831
SynVesp	72521
SynVesp	83948
SynVesp	4606
SynVesp	3779
SynVesp	5072
SynVesp	791
SynVesp	1351
SynVesp	673
SynVesp	9531
SynVesp	112930
SynVesp	142091
EmmMono	167656
EmmMono	148028
EmmMono	175520
EmmMono	49121
EmmMono	33686
EmmMono	36865
EmmMono	45999
EmmMono	1611
EmmMono	3686
EmmMono	2093
EmmMono	4977
EmmMono	81563
EmmMono	390126
CarQuer	326389
CarQuer	279756
CarQuer	347780
CarQuer	91319
CarQuer	66931
CarQuer	72646
CarQuer	90272
CarQuer	2710
CarQuer	3056
CarQuer	2163
CarQuer	6629
CarQuer	124032
CarQuer	164672
BlaLact	269157
BlaLact	246571
BlaLact	278923
BlaLact	97598
BlaLact	64449
BlaLact	73252
BlaLact	88508
BlaLact	409743
BlaLact	101133
BlaLact	3992
BlaLact	8849
BlaLact	4614
BlaLact	10247
BlaLact	7411
BlaLact	11271
BlaLact	7154
BlaLact	15688
BlaLact	3318
BlaLact	5293
BlaLact	42713
BlaLact	5449
BlaLact	15069
BlaLact	14273
BlaLact	42174
BlaLact	10093
BlaLact	8428
BlaLact	21768
BlaLact	5506
BlaLact	21420
BlaLact	4684
BlaLact	10192
BlaLact	14545
BlaLact	15278
BlaLact	14199
BlaLact	4715
BlaLact	3448
BlaLact	11447
BlaLact	5385
BlaLact	12320
BlaLact	6618
BlaLact	16252
BlaLact	4926
BlaLact	3208
BlaLact	8947
BlaLact	5769
BlaLact	18710
BlaLact	4595
BlaLact	3199
BlaLact	17207
BlaLact	1740
BlaLact	4895
BlaLact	4727
BlaLact	1740
BlaLact	2963
BlaLact	4947
BlaLact	14645
BlaLact	3038
BlaLact	8275
BlaLact	3818
BlaLact	4742
BlaLact	7121
BlaLact	4192
BlaLact	3898
BlaLact	12437
BlaLact	10288
BlaLact	128199
BlaLact	234270
BlaAdus	271163
BlaAdus	240465
BlaAdus	268181
BlaAdus	97315
BlaAdus	62988
BlaAdus	71808
BlaAdus	90301
BlaAdus	451410
BlaAdus	11006
BlaAdus	1067
BlaAdus	758
BlaAdus	22275
BlaAdus	128675
BlaAdus	503334
BlaAdus	205529
BlaAdus	5248
BlaAdus	7566
BlaAdus	54307
BlaAdus	788
BlaAdus	471
BlaAdus	7332
BlaAdus	13363
BlaAdus	5533
BlaAdus	4434
BlaAdus	8751
BlaAdus	6753
BlaAdus	14951
BlaAdus	6826
BlaAdus	7309
BlaAdus	2351
BlaAdus	8343
BlaAdus	14923
BlaAdus	14396
BlaAdus	11913
BlaAdus	4283
BlaAdus	10085
BlaAdus	2753
BlaAdus	8992
BlaAdus	10597
BlaAdus	9834
BlaAdus	9220
BlaAdus	9518
BlaAdus	9261
BlaAdus	14726
BlaAdus	4302
BlaAdus	11739
BlaAdus	16642
BlaAdus	7627
BlaAdus	20866
BlaAdus	21908
BlaAdus	219
BlaAdus	4248
BlaAdus	7866
BlaAdus	8886
BlaAdus	219
BlaAdus	4248
BlaAdus	7271
BlaAdus	11356
BlaAdus	11357
BlaAdus	11350
BlaAdus	5821
BlaAdus	7186
BlaAdus	6821
BlaAdus	9598
BlaAdus	16040
BlaAdus	4286
BlaAdus	7958
BlaAdus	6550
