Molecule	gene	start	end	strand	direction
Limnephilus_lunatus	NK1	1	5	forward	1
Limnephilus_lunatus	Emx	6	10	forward	1
Limnephilus_lunatus	Hmx	11	15	forward	1
Limnephilus_lunatus	Tlx	16	20	forward	1
Limnephilus_lunatus	Msx	21	25	forward	1
Limnephilus_lunatus	NK4	26	30	forward	1
Limnephilus_lunatus	NK3	31	35	forward	1
Limnephilus_lunatus	Lbx	36	40	forward	1
Limnephilus_marmoratus	NK1	1	5	forward	1
Limnephilus_marmoratus	Emx	6	10	forward	1
Limnephilus_marmoratus	Hmx	11	15	forward	1
Limnephilus_marmoratus	Tlx	16	20	forward	1
Limnephilus_marmoratus	Msx	21	25	forward	1
Limnephilus_marmoratus	NK4	26	30	forward	1
Limnephilus_marmoratus	NK3	31	35	forward	1
Limnephilus_marmoratus	Lbx	36	40	forward	1
Neomicropteryx_cornuta	Emx	1	5	forward	1
Neomicropteryx_cornuta	NK1	6	10	forward	1
Neomicropteryx_cornuta	Tlx	11	15	forward	1
Neomicropteryx_cornuta	Hmx	16	20	forward	1
Neomicropteryx_cornuta	Msx	21	25	forward	1
Neomicropteryx_cornuta	Msx	26	30	forward	1
Neomicropteryx_cornuta	NK4	31	35	forward	1
Neomicropteryx_cornuta	NK3	36	40	forward	1
Neomicropteryx_cornuta	Lbx	41	45	forward	1
Tinea_semifulvella	Tlx	1	5	forward	1
Tinea_semifulvella	Msx	6	10	forward	1
Tinea_semifulvella	Msx	11	15	forward	1
Tinea_semifulvella	NK4	16	20	forward	1
Tinea_semifulvella	NK3	21	25	forward	1
Tinea_semifulvella	Lbx	26	30	forward	1
Tinea_semifulvella	NK1	31	35	forward	1
Tinea_semifulvella	Hmx	36	40	forward	1
Tinea_semifulvella	Emx	41	45	forward	1
Tinea_trinotella	Tlx	1	5	forward	1
Tinea_trinotella	Msx	6	10	forward	1
Tinea_trinotella	Msx	11	15	forward	1
Tinea_trinotella	NK4	16	20	forward	1
Tinea_trinotella	NK3	21	25	forward	1
Tinea_trinotella	Lbx	26	30	forward	1
Tinea_trinotella	NK1	31	35	forward	1
Tinea_trinotella	Hmx	36	40	forward	1
Tinea_trinotella	Emx	41	45	forward	1
Ypsolopha_scabrella	NK1	1	5	forward	1
Ypsolopha_scabrella	Emx	6	10	forward	1
Ypsolopha_scabrella	Msx	11	15	forward	1
Ypsolopha_scabrella	Msx	16	20	forward	1
Ypsolopha_scabrella	NK4	21	25	forward	1
Ypsolopha_scabrella	NK3	26	30	forward	1
Ypsolopha_scabrella	Lbx	31	35	forward	1
Ypsolopha_scabrella	Tlx	36	40	forward	1
Ypsolopha_scabrella	Hmx	41	45	forward	1
Apotomis_turbidana	Tlx	1	5	forward	1
Apotomis_turbidana	Msx	6	10	forward	1
Apotomis_turbidana	Msx	11	15	forward	1
Apotomis_turbidana	NK4	16	20	forward	1
Apotomis_turbidana	NK3	21	25	forward	1
Apotomis_turbidana	Lbx	26	30	forward	1
Apotomis_turbidana	NK1	31	35	forward	1
Apotomis_turbidana	Hmx	36	40	forward	1
Apotomis_turbidana	Emx	41	45	forward	1
Hedya_salicella	Tlx	1	5	forward	1
Hedya_salicella	Msx	6	10	forward	1
Hedya_salicella	Msx	11	15	forward	1
Hedya_salicella	NK4	16	20	forward	1
Hedya_salicella	NK3	21	25	forward	1
Hedya_salicella	Lbx	26	30	forward	1
Hedya_salicella	NK1	31	35	forward	1
Hedya_salicella	Hmx	36	40	forward	1
Hedya_salicella	Emx	41	45	forward	1
Notocelia_uddmanniana	Tlx	1	5	forward	1
Notocelia_uddmanniana	Msx	6	10	forward	1
Notocelia_uddmanniana	Msx	11	15	forward	1
