target_id	length	eff_length	est_counts	tpm
TRINITY_DN1548_c0_g1_i1	2554	2266.01	329.893	10.3691
TRINITY_DN1548_c0_g1_i2	2435	2147.01	1303.11	43.2291
TRINITY_DN1532_c0_g1_i8	8725	8437.01	280.426	2.36734
TRINITY_DN1532_c0_g1_i12	5781	5493.01	257.805	3.34281
TRINITY_DN1532_c0_g1_i10	5004	4716.01	54.4308	0.822054
TRINITY_DN1532_c0_g1_i6	8305	8017.01	96.4037	0.856469
TRINITY_DN1532_c0_g1_i13	6159	5871.01	15.2837	0.185415
TRINITY_DN1532_c0_g1_i5	4212	3924.01	212.328	3.85397
TRINITY_DN1532_c0_g1_i2	7612	7324.01	415.23	4.03804
TRINITY_DN1532_c0_g1_i11	1560	1272.01	88.2429	4.94105
TRINITY_DN1532_c0_g1_i4	4276	3988.01	135.481	2.41964
TRINITY_DN1532_c0_g1_i7	5808	5520.01	84.4978	1.09027
TRINITY_DN1532_c0_g1_i9	7612	7324.01	171.414	1.66697
TRINITY_DN1532_c0_g1_i1	7877	7589.01	165.895	1.55696
TRINITY_DN1532_c1_g1_i1	5994	5706.01	131.197	1.63766
TRINITY_DN1532_c1_g1_i4	5998	5710.01	354.803	4.42568
TRINITY_DN1532_c1_g2_i2	3088	2800.01	60.5885	1.54121
TRINITY_DN1532_c1_g2_i4	3064	2776.01	24.8544	0.637694
TRINITY_DN1532_c1_g2_i1	3063	2775.01	39.5571	1.01529
TRINITY_DN1589_c0_g1_i1	3178	2890.01	1472	36.2776
TRINITY_DN1568_c0_g1_i1	2471	2183.01	2087	68.0921
TRINITY_DN1546_c0_g1_i1	1354	1066.01	4264	284.895
TRINITY_DN1500_c0_g2_i1	325	85.2269	2	1.67141
TRINITY_DN1500_c0_g1_i2	5322	5034.01	3357.73	47.5075
TRINITY_DN1500_c0_g1_i5	5415	5127.01	649.026	9.0163
TRINITY_DN1500_c0_g1_i3	5439	5151.01	283.242	3.91648
TRINITY_DN1588_c0_g1_i1	5032	4744.01	2813	42.2333
TRINITY_DN1561_c0_g1_i1	712	424.738	372.516	62.4675
TRINITY_DN1561_c0_g1_i2	728	440.604	88.4842	14.3037
TRINITY_DN1587_c0_g1_i8	1526	1238.01	5.29898	0.304858
TRINITY_DN1587_c0_g1_i11	6521	6233.01	407.791	4.65983
TRINITY_DN1587_c0_g1_i7	466	192.52	8.31051	3.07455
TRINITY_DN1587_c0_g1_i5	8930	8642.01	0	0
TRINITY_DN1587_c0_g1_i10	1169	881.013	8.59029	0.694474
TRINITY_DN1587_c0_g1_i4	7367	7079.01	1047.84	10.5428
TRINITY_DN1587_c0_g2_i3	6328	6040.01	24.1727	0.285047
TRINITY_DN1587_c0_g2_i5	6327	6039.01	0	0
TRINITY_DN1587_c0_g2_i1	6331	6043.01	707.048	8.33347
TRINITY_DN1587_c0_g3_i1	4103	3815.01	287.966	5.3762
TRINITY_DN1587_c0_g4_i1	451	179.758	3	1.18867
TRINITY_DN1587_c0_g5_i1	4104	3816.01	870.034	16.2389
TRINITY_DN1530_c0_g1_i3	2873	2585.01	233.763	6.44086
TRINITY_DN1530_c0_g1_i4	3269	2981.01	408.724	9.76556
TRINITY_DN1530_c0_g1_i2	3525	3237.01	118.57	2.60893
TRINITY_DN1530_c0_g1_i1	3138	2850.01	325.943	8.14563
TRINITY_DN1571_c0_g1_i1	2827	2539.01	1630	45.725
TRINITY_DN1597_c0_g1_i1	1838	1550.01	7728	355.11
TRINITY_DN1564_c0_g1_i1	1132	844.013	1355	114.346
TRINITY_DN1564_c1_g1_i1	4163	3875.01	936.155	17.207
TRINITY_DN1564_c1_g1_i4	1502	1214.01	141.845	8.32187
TRINITY_DN1528_c0_g1_i1	3571	3283.01	1842.36	39.9699
TRINITY_DN1528_c0_g1_i2	3564	3276.01	175.64	3.81863
TRINITY_DN1503_c0_g1_i9	4258	3970.01	114.523	2.05463
TRINITY_DN1503_c0_g1_i13	4461	4173.01	160.482	2.73909
TRINITY_DN1503_c0_g1_i1	4265	3977.01	25.9023	0.463887
TRINITY_DN1503_c0_g1_i2	1117	829.013	9.92502	0.852709
TRINITY_DN1503_c0_g1_i15	4472	4184.01	72.3106	1.23095
TRINITY_DN1503_c0_g1_i16	4193	3905.01	22.2798	0.406368
TRINITY_DN1503_c0_g1_i11	4400	4112.01	64.3243	1.11417
TRINITY_DN1503_c0_g1_i3	4389	4101.01	144.27	2.50562
TRINITY_DN1503_c0_g1_i12	4276	3988.01	153.396	2.7396
TRINITY_DN1503_c0_g1_i17	3845	3557.01	21.6098	0.43271
TRINITY_DN1503_c0_g1_i14	4204	3916.01	136.977	2.49136
TRINITY_DN1503_c0_g2_i1	436	167.205	4	1.70389
TRINITY_DN1537_c0_g1_i1	3186	2898.01	4391	107.918
TRINITY_DN1524_c0_g1_i1	3815	3527.01	3319	67.0241
