target_id	length	eff_length	est_counts	tpm
TRINITY_DN30031_c0_g1_i1	249	40.5207	2	3.54603
TRINITY_DN30050_c0_g1_i1	289	57.7287	3	3.73352
TRINITY_DN30046_c0_g1_i1	473	186.431	8	3.08292
TRINITY_DN30023_c0_g1_i1	244	38.6786	1	1.85745
TRINITY_DN30057_c0_g1_i1	277	52.0939	2	2.75824
TRINITY_DN30090_c0_g1_i1	256	43.2902	3	4.97875
TRINITY_DN30008_c0_g1_i1	356	95.9038	5	3.74561
TRINITY_DN30061_c0_g1_i1	578	282.872	6	1.52388
TRINITY_DN30086_c0_g1_i1	255	42.9042	2	3.34903
TRINITY_DN30028_c0_g1_i1	215	28.8996	2	4.97196
TRINITY_DN30020_c0_g1_i1	258	44.0718	2	3.26031
TRINITY_DN30016_c0_g1_i1	291	58.6884	6	7.34493
TRINITY_DN30081_c0_g1_i1	675	377.572	12	2.28334
TRINITY_DN30085_c0_g1_i1	221	30.8473	3	6.98703
TRINITY_DN30073_c0_g1_i1	270	48.972	2	2.93407
TRINITY_DN30075_c0_g1_i1	213	28.4148	3	7.58517
TRINITY_DN30089_c0_g1_i1	234	35.1504	2	4.08779
TRINITY_DN30048_c0_g1_i1	421	143.108	8	4.01618
TRINITY_DN30063_c0_g1_i1	272	49.8883	3	4.32027
TRINITY_DN30019_c0_g1_i1	297	61.5957	2	2.33275
TRINITY_DN30014_c0_g1_i1	349	91.2278	5	3.9376
TRINITY_DN30052_c0_g1_i1	440	158.426	8	3.62788
TRINITY_DN30037_c0_g1_i1	232	34.5168	3	6.24425
TRINITY_DN30074_c0_g1_i1	260	44.8494	3	4.80567
TRINITY_DN30007_c0_g1_i1	600	304.094	7	1.65378
TRINITY_DN30041_c0_g1_i1	257	43.6794	2	3.28959
TRINITY_DN30013_c0_g1_i1	246	39.4477	3	5.46372
TRINITY_DN30026_c0_g1_i1	242	37.8613	2	3.7951
TRINITY_DN30082_c0_g1_i1	498	208.461	9	3.10175
TRINITY_DN30079_c0_g1_i1	807	508.964	9	1.27041
TRINITY_DN30009_c0_g1_i1	286	56.3325	3	3.82606
TRINITY_DN30078_c0_g1_i1	553	259.107	10	2.77275
TRINITY_DN30080_c0_g1_i1	417	139.987	4	2.05287
TRINITY_DN30030_c0_g1_i1	239	36.8268	4	7.80342
TRINITY_DN30051_c0_g1_i1	263	46.0304	2	3.12158
TRINITY_DN30097_c0_g1_i1	237	36.114	2	3.97872
TRINITY_DN30033_c0_g1_i1	262	45.6246	3	4.72401
TRINITY_DN30042_c0_g1_i1	271	49.4172	3	4.36146
TRINITY_DN30017_c0_g1_i1	258	44.0718	2	3.26031
TRINITY_DN30039_c0_g1_i1	241	37.5283	2	3.82878
TRINITY_DN30004_c0_g1_i1	243	38.2407	2	3.75745
TRINITY_DN30094_c0_g1_i1	588	292.52	8	1.96482
TRINITY_DN30066_c0_g1_i1	518	226.542	11	3.48845
TRINITY_DN30093_c0_g1_i1	417	139.987	5	2.56609
TRINITY_DN30053_c0_g1_i1	325	76.7703	6	5.61496
TRINITY_DN30067_c0_g1_i1	408	133.021	5	2.70048
TRINITY_DN30006_c0_g1_i1	252	41.6461	4	6.90041
TRINITY_DN30005_c0_g1_i1	247	39.8249	2	3.60798
TRINITY_DN30087_c0_g1_i1	278	52.5257	2	2.73557
TRINITY_DN30070_c0_g1_i1	755	457.065	20	3.1437
TRINITY_DN30056_c0_g1_i1	247	39.8249	2	3.60798
TRINITY_DN30095_c0_g1_i1	251	41.329	4	6.95336
TRINITY_DN30025_c0_g1_i1	857	558.893	25.0051	3.21432
TRINITY_DN30024_c0_g1_i1	458	173.583	3	1.24166
TRINITY_DN30077_c0_g1_i1	533	240.378	10	2.98878
TRINITY_DN30045_c0_g1_i1	324	76.1947	4	3.77159
TRINITY_DN30047_c0_g1_i1	333	81.3258	2.00704	1.77303
TRINITY_DN30076_c0_g1_i1	339	84.9269	3	2.53784
TRINITY_DN30099_c0_g1_i1	1264	965.567	19	1.41371
TRINITY_DN30002_c0_g1_i1	564	269.618	10	2.66464
TRINITY_DN30092_c0_g1_i1	238	36.4711	2	3.93976
TRINITY_DN30044_c0_g1_i1	253	42.0635	3	5.12395
TRINITY_DN30055_c0_g1_i1	272	49.8883	2	2.88018
TRINITY_DN30001_c0_g1_i1	355	95.2273	1	0.754445
TRINITY_DN30064_c0_g1_i1	258	44.0718	2	3.26031
TRINITY_DN30069_c0_g1_i1	849	550.9	11	1.43453
TRINITY_DN30034_c0_g1_i1	259	44.4685	2	3.23122
TRINITY_DN30100_c0_g1_i1	334	81.903	4	3.50872
TRINITY_DN30054_c0_g1_i1	573	278.126	11	2.84145
TRINITY_DN30010_c0_g1_i1	799	500.989	13	1.86425
TRINITY_DN30018_c0_g1_i1	769	471.025	17	2.59295
TRINITY_DN30012_c0_g1_i1	1036	737.567	15	1.4611
TRINITY_DN30071_c0_g1_i1	269	48.5422	3	4.44008
TRINITY_DN30060_c0_g1_i1	379	111.47	7	4.51159
TRINITY_DN30072_c0_g1_i1	271	49.4172	3	4.36146
TRINITY_DN30027_c0_g1_i1	425	146.282	4	1.96452
TRINITY_DN30022_c0_g1_i1	329	78.9529	5	4.54978
TRINITY_DN30088_c0_g1_i1	1460	1161.57	31	1.91737
TRINITY_DN30036_c0_g1_i1	266	47.2843	2	3.0388
TRINITY_DN30049_c0_g1_i1	385	115.732	6	3.72468
TRINITY_DN30062_c0_g1_i1	219	30.1984	2	4.75811
TRINITY_DN30038_c0_g1_i1	278	52.5257	2	2.73557
TRINITY_DN30021_c0_g1_i1	749	451.093	14	2.22973
TRINITY_DN30068_c0_g1_i1	303	64.806	2	2.21719
TRINITY_DN30058_c0_g1_i1	451	167.602	6	2.57194
TRINITY_DN30043_c0_g1_i1	254	42.4552	3	5.07667
TRINITY_DN30035_c0_g1_i1	364	101.289	3	2.12789
TRINITY_DN30059_c0_g1_i1	268	48.0943	2	2.98762
TRINITY_DN30098_c0_g1_i1	252	41.6461	2	3.4502
TRINITY_DN30096_c0_g1_i1	1225	926.567	939	72.8078
TRINITY_DN30029_c0_g1_i1	266	47.2843	2	3.0388
TRINITY_DN30015_c0_g1_i1	363	100.597	3	2.14253
TRINITY_DN30040_c0_g1_i1	255	42.9042	3	5.02355
TRINITY_DN30084_c0_g1_i1	361	99.2413	5	3.61965
TRINITY_DN30065_c0_g1_i1	750	452.093	11	1.74805
TRINITY_DN1548_c0_g1_i15	3325	3026.57	64.2379	1.52486
TRINITY_DN1548_c0_g1_i19	3484	3185.57	39.4316	0.889298
TRINITY_DN1548_c0_g1_i23	3486	3187.57	65.5954	1.47844
TRINITY_DN1548_c0_g1_i3	2679	2380.57	27.9717	0.844166
TRINITY_DN1548_c0_g1_i18	3459	3160.57	62.9527	1.431
TRINITY_DN1548_c0_g1_i5	3564	3265.57	54.3608	1.19596
TRINITY_DN1548_c0_g1_i33	3572	3273.57	35.9732	0.78949
TRINITY_DN1548_c0_g1_i20	3591	3292.57	56.6635	1.2364
TRINITY_DN1548_c0_g1_i24	3342	3043.57	61.3409	1.44796
TRINITY_DN1548_c0_g1_i22	3469	3170.57	68.5473	1.55325
TRINITY_DN1548_c0_g1_i26	3589	3290.57	34.5711	0.754799
TRINITY_DN1548_c0_g1_i27	3467	3168.57	41.1092	0.932105
TRINITY_DN1548_c0_g1_i12	3547	3248.57	56.7039	1.25404
TRINITY_DN1548_c0_g1_i31	539	245.965	1.64563	0.480671
TRINITY_DN1548_c0_g1_i17	3442	3143.57	65.8024	1.50386
TRINITY_DN1548_c0_g1_i8	3574	3275.57	59.0927	1.29609
TRINITY_DN1532_c0_g1_i1	1284	985.567	938	68.3763
TRINITY_DN1589_c0_g1_i1	564	269.618	8	2.13172
TRINITY_DN1589_c0_g2_i4	3668	3369.57	219.492	4.67987
TRINITY_DN1589_c0_g2_i8	4219	3920.57	38.5761	0.706901
TRINITY_DN1589_c0_g2_i2	1794	1495.57	41.866	2.01115
TRINITY_DN1589_c0_g2_i3	4066	3767.57	34.6244	0.660252
TRINITY_DN1589_c0_g2_i6	2040	1741.57	58.4557	2.41144
TRINITY_DN1589_c0_g2_i7	419	141.512	2.02846	1.02982
TRINITY_DN1589_c0_g2_i9	1932	1633.57	229.642	10.0996
TRINITY_DN1589_c0_g2_i5	3667	3368.57	146.619	3.12705
TRINITY_DN1589_c0_g2_i1	2022	1723.57	257.725	10.7428
TRINITY_DN1568_c0_g1_i2	3928	3629.57	50.2415	0.994482
TRINITY_DN1568_c0_g1_i3	4436	4137.57	1721.53	29.8923
TRINITY_DN1568_c0_g1_i1	4435	4136.57	127.226	2.20966
TRINITY_DN1546_c0_g1_i3	345	88.6756	6.19692	5.02066
TRINITY_DN1546_c0_g1_i2	3100	2801.57	734.093	18.8252
TRINITY_DN1546_c0_g1_i4	3089	2790.57	64.0768	1.64967
TRINITY_DN1546_c0_g1_i5	3156	2857.57	492.085	12.3718
TRINITY_DN1546_c0_g1_i1	3167	2868.57	90.5485	2.2678
