target_id	length	eff_length	est_counts	tpm
TRINITY_DN30031_c0_g1_i1	603	337.343	4	0.866395
TRINITY_DN30050_c0_g1_i1	230	40.004	0	0
TRINITY_DN30046_c0_g1_i1	463	206.103	5	1.77261
TRINITY_DN30023_c0_g1_i1	264	57.8321	4	5.0538
TRINITY_DN30090_c0_g1_i1	205	28.7445	2	5.08397
TRINITY_DN30008_c0_g1_i1	309	85.3266	2	1.71267
TRINITY_DN30083_c0_g1_i1	210	31.0466	2	4.707
TRINITY_DN30061_c0_g1_i1	332	100.972	4.01076	2.90236
TRINITY_DN30032_c0_g1_i1	247	48.5217	4	6.02354
TRINITY_DN30086_c0_g1_i1	221	36.1286	2	4.04488
TRINITY_DN30028_c0_g1_i1	259	55.0355	4	5.31061
TRINITY_DN30091_c0_g1_i1	238	43.8764	2	3.33063
TRINITY_DN30085_c0_g1_i1	209	30.637	2	4.76993
TRINITY_DN30075_c0_g1_i1	636	369.561	5	0.988578
TRINITY_DN30063_c0_g1_i1	399	151.651	4	1.92727
TRINITY_DN30019_c0_g1_i1	250	50.0906	3	4.37615
TRINITY_DN30014_c0_g1_i1	252	51.1465	4	5.71441
TRINITY_DN30052_c0_g1_i1	261	56.1269	2	2.60367
TRINITY_DN30037_c0_g1_i1	776	508.562	10	1.43676
TRINITY_DN30074_c0_g1_i1	224	37.4302	2	3.90423
TRINITY_DN30007_c0_g1_i1	401	153.343	3	1.4295
TRINITY_DN30041_c0_g1_i1	382	137.919	5	2.64895
TRINITY_DN30026_c0_g1_i1	254	52.2217	3	4.19756
TRINITY_DN30082_c0_g1_i1	203	27.8349	2	5.2501
TRINITY_DN30079_c0_g1_i1	251	50.6035	2	2.88786
TRINITY_DN30009_c0_g1_i1	235	42.4371	2	3.44359
TRINITY_DN30080_c0_g1_i1	326	96.895	3	2.26228
TRINITY_DN30030_c0_g1_i1	222	36.5645	1	1.99833
TRINITY_DN30011_c0_g1_i1	250	50.0906	2	2.91743
TRINITY_DN30097_c0_g1_i1	206	29.2363	1	2.49922
TRINITY_DN30033_c0_g1_i1	211	31.4972	2	4.63966
TRINITY_DN30042_c0_g1_i1	294	75.7211	3	2.89489
TRINITY_DN30039_c0_g1_i1	406	157.431	8	3.71301
TRINITY_DN30094_c0_g1_i1	224	37.4302	3	5.85634
TRINITY_DN30066_c0_g1_i1	273	63.1352	4	4.6293
TRINITY_DN30093_c0_g1_i1	206	29.2363	3	7.49767
TRINITY_DN30067_c0_g1_i1	300	79.4916	4	3.67677
TRINITY_DN30006_c0_g1_i1	460	203.449	5	1.79573
TRINITY_DN30005_c0_g1_i1	219	35.1752	3	6.23177
TRINITY_DN30087_c0_g1_i1	325	96.2104	4.76727	3.62055
TRINITY_DN30056_c0_g1_i1	337	104.441	3	2.09882
TRINITY_DN30024_c0_g1_i1	334	102.339	4	2.85592
TRINITY_DN30077_c0_g1_i1	497	236.871	5	1.54236
TRINITY_DN30045_c0_g1_i1	247	48.5217	2	3.01177
TRINITY_DN30047_c0_g1_i1	304	82.0197	3	2.67258
TRINITY_DN30076_c0_g1_i1	382	137.919	5	2.64895
TRINITY_DN30099_c0_g1_i1	253	51.7013	3	4.23982
TRINITY_DN30092_c0_g1_i1	205	28.7445	4	10.1679
TRINITY_DN30044_c0_g1_i1	225	37.8818	2	3.85768
TRINITY_DN30064_c0_g1_i1	354	116.724	2	1.25198
TRINITY_DN30069_c0_g1_i1	428	175.817	3	1.24678
TRINITY_DN30034_c0_g1_i1	299	78.8374	4	3.70728
TRINITY_DN30010_c0_g1_i1	407	158.267	3.03457	1.40099
TRINITY_DN30018_c0_g1_i1	509	247.909	6	1.76842
TRINITY_DN30012_c0_g1_i1	204	28.2881	1	2.583
TRINITY_DN30000_c0_g1_i1	225	37.8818	3	5.78652
TRINITY_DN30072_c0_g1_i1	208	30.1507	2	4.84685
TRINITY_DN30022_c0_g1_i1	266	59.0249	4	4.95168
TRINITY_DN30088_c0_g1_i1	296	76.9737	1	0.94926
TRINITY_DN30049_c0_g1_i1	237	43.4288	2	3.36495
TRINITY_DN30062_c0_g1_i1	259	55.0355	3	3.98296
TRINITY_DN30038_c0_g1_i1	343	108.638	3	2.01775
TRINITY_DN30021_c0_g1_i1	236	42.9447	3	5.10433
TRINITY_DN30068_c0_g1_i1	243	46.4129	3	4.72291
TRINITY_DN30058_c0_g1_i1	607	341.231	7	1.49892
TRINITY_DN30035_c0_g1_i1	349	113.123	3	1.93775
TRINITY_DN30059_c0_g1_i1	483	224.02	3	0.978502
TRINITY_DN30098_c0_g1_i1	297	77.5792	3	2.82555
TRINITY_DN30096_c0_g1_i1	287	71.4835	2	2.04433
TRINITY_DN30029_c0_g1_i1	651	384.297	11	2.09148
TRINITY_DN30040_c0_g1_i1	242	45.9129	3	4.77434
TRINITY_DN30065_c0_g1_i1	219	35.1752	2	4.15451
TRINITY_DN1548_c0_g1_i1	1020	752.508	1452	140.988
TRINITY_DN1548_c0_g2_i1	1191	923.508	483.835	38.2811
TRINITY_DN1548_c0_g3_i1	1175	907.508	208.006	16.7476
TRINITY_DN1548_c1_g1_i1	208	30.1507	0	0
TRINITY_DN1548_c1_g1_i2	260	55.5866	5	6.57245
TRINITY_DN1532_c0_g1_i1	818	550.524	809	107.374
TRINITY_DN1589_c0_g1_i4	2633	2365.51	179.328	5.53924
TRINITY_DN1589_c0_g1_i3	483	224.02	6.33372	2.06585
TRINITY_DN1589_c0_g1_i5	2644	2376.51	147.629	4.53898
TRINITY_DN1589_c0_g1_i2	2646	2378.51	37.1049	1.13987
TRINITY_DN1589_c0_g1_i1	2631	2363.51	665.605	20.5772
TRINITY_DN1589_c0_g2_i2	3509	3241.51	139.632	3.1475
TRINITY_DN1589_c0_g2_i1	3539	3271.51	745.559	16.6518
TRINITY_DN1589_c0_g2_i3	3528	3260.51	542.809	12.1643
TRINITY_DN1589_c1_g1_i2	4513	4245.51	664.305	11.4331
TRINITY_DN1589_c1_g1_i1	4682	4414.51	251.695	4.16601
TRINITY_DN1568_c0_g1_i1	1575	1307.51	996	55.6599
TRINITY_DN1546_c0_g1_i1	1561	1293.51	767	43.3265
TRINITY_DN1500_c0_g1_i6	1958	1690.51	31.6522	1.36809
TRINITY_DN1500_c0_g1_i3	1582	1314.51	127.385	7.08081
TRINITY_DN1500_c0_g1_i1	1223	955.508	13.8111	1.05614
TRINITY_DN1500_c0_g1_i5	1960	1692.51	239.273	10.3298
TRINITY_DN1500_c0_g1_i4	1313	1045.51	18.8787	1.31939
TRINITY_DN1500_c0_g3_i1	227	38.7128	1	1.88744
TRINITY_DN1500_c0_g2_i3	1609	1341.51	132	7.18965
TRINITY_DN1500_c0_g2_i2	4500	4232.51	464.041	8.01098
TRINITY_DN1500_c1_g1_i1	353	116.011	2.00858	1.26508
TRINITY_DN1500_c2_g1_i1	514	252.501	4	1.15751
TRINITY_DN1588_c0_g1_i1	3547	3279.51	2277	50.732
TRINITY_DN1561_c0_g1_i3	902	634.508	259.056	29.8321
TRINITY_DN1561_c0_g1_i1	924	656.508	312.804	34.8145
TRINITY_DN1561_c0_g1_i2	952	684.508	140.14	14.9593
TRINITY_DN1587_c0_g1_i1	2454	2186.51	741.05	24.7642
TRINITY_DN1530_c0_g1_i3	3973	3705.51	732.434	14.4427
TRINITY_DN1530_c0_g1_i2	3977	3709.51	1027.85	20.2461
TRINITY_DN1530_c0_g1_i1	3940	3672.51	60.7132	1.20795
TRINITY_DN1571_c0_g1_i1	525	262.706	67	18.6351
TRINITY_DN1571_c0_g2_i1	589	323.739	9.53248	2.15148
TRINITY_DN1571_c0_g2_i2	3574	3306.51	727.244	16.0708
TRINITY_DN1571_c0_g2_i3	3550	3282.51	39.537	0.880087
TRINITY_DN1571_c0_g3_i1	2956	2688.51	678.399	18.4375
TRINITY_DN1571_c1_g1_i1	235	42.4371	5.21415	8.9777
TRINITY_DN1571_c1_g1_i5	1420	1152.51	55.0129	3.48777
TRINITY_DN1571_c1_g1_i4	1433	1165.51	23.6751	1.48424
TRINITY_DN1571_c1_g1_i3	1686	1418.51	606.312	31.2314
TRINITY_DN1571_c1_g1_i2	295	76.337	0	0
TRINITY_DN1571_c1_g2_i2	3246	2978.51	4371.94	107.251
TRINITY_DN1571_c1_g2_i1	3114	2846.51	2263.01	58.0899
TRINITY_DN1571_c2_g1_i1	386	141.186	15	7.76294
TRINITY_DN1571_c3_g1_i1	340	106.526	13.5122	9.26824
TRINITY_DN1571_c4_g1_i1	2126	1858.51	353	13.8783
TRINITY_DN1597_c0_g1_i2	3788	3520.51	1211	25.1343
TRINITY_DN1564_c0_g1_i1	1706	1438.51	1139	57.8547
TRINITY_DN1528_c0_g1_i3	2906	2638.51	781	21.6282
TRINITY_DN1528_c0_g2_i1	288	72.0811	3	3.04108
TRINITY_DN1503_c0_g1_i2	3919	3651.51	243.643	4.87538
TRINITY_DN1503_c0_g1_i5	4200	3932.51	139.907	2.59955
TRINITY_DN1503_c0_g1_i3	4225	3957.51	136.598	2.52203
TRINITY_DN1503_c0_g1_i1	6410	6142.51	1947.82	23.1703
TRINITY_DN1503_c0_g1_i4	4212	3944.51	230.028	4.26104
TRINITY_DN1503_c0_g3_i1	305	82.6955	1	0.883579
TRINITY_DN1503_c0_g4_i1	471	213.19	4	1.37094
TRINITY_DN1537_c0_g1_i2	331	100.279	10.563	7.69674
TRINITY_DN1537_c0_g1_i1	293	75.1291	4.43698	4.31526
TRINITY_DN1537_c0_g2_i1	1016	748.508	26.3511	2.57235
TRINITY_DN1537_c0_g2_i2	1104	836.508	20.1344	1.75872
TRINITY_DN1537_c0_g3_i1	234	41.9939	3.12653	5.44005
TRINITY_DN1537_c0_g4_i3	5081	4813.51	152.613	2.31663
TRINITY_DN1537_c0_g4_i2	2636	2368.51	26.0015	0.802143
TRINITY_DN1537_c0_g4_i1	5086	4818.51	260.129	3.9446
TRINITY_DN1537_c0_g5_i1	265	58.4198	7.08393	8.86016
TRINITY_DN1537_c0_g6_i2	882	614.508	65.7566	7.81878
TRINITY_DN1537_c0_g6_i1	900	632.508	75.0335	8.66795
TRINITY_DN1537_c1_g1_i2	207	29.6786	41.6367	102.509
TRINITY_DN1537_c1_g1_i7	691	423.914	9.87117	1.70145
TRINITY_DN1537_c1_g1_i8	800	532.547	61.1579	8.39116
TRINITY_DN1537_c1_g1_i6	494	234.154	7.61379	2.37589
TRINITY_DN1537_c1_g2_i1	602	336.362	7.72447	1.67799
TRINITY_DN1524_c0_g1_i1	2067	1799.51	5102	207.164
TRINITY_DN1583_c0_g1_i1	2851	2583.51	1158	32.7511
TRINITY_DN1583_c1_g1_i2	2931	2663.51	318.155	8.72793
TRINITY_DN1583_c1_g1_i1	1711	1443.51	20.8454	1.05516
TRINITY_DN1583_c1_g2_i1	1791	1523.51	232	11.1268
TRINITY_DN1583_c2_g1_i1	396	149.247	15	7.34366
TRINITY_DN1583_c3_g1_i1	3485	3217.51	279.22	6.34094
TRINITY_DN1583_c5_g1_i1	291	73.8757	5	4.94533
TRINITY_DN1583_c6_g1_i1	1140	872.508	100.162	8.38803
TRINITY_DN1583_c7_g1_i1	459	202.548	22.0255	7.94554
TRINITY_DN1551_c0_g1_i1	1585	1317.51	629	34.8839
TRINITY_DN1555_c0_g1_i2	2382	2114.51	246.872	8.5308
TRINITY_DN1555_c0_g1_i1	2138	1870.51	978.252	38.2137
TRINITY_DN1555_c0_g1_i3	2399	2131.51	682.876	23.409
TRINITY_DN1555_c1_g1_i1	294	75.7211	1.04226	1.00574
TRINITY_DN1517_c0_g1_i3	853	585.508	11.2697	1.4064
TRINITY_DN1517_c0_g1_i5	2364	2096.51	398.507	13.8889
TRINITY_DN1517_c0_g1_i1	2376	2108.51	539.637	18.7005
TRINITY_DN1517_c0_g1_i4	2504	2236.51	76.5863	2.50212
TRINITY_DN1506_c0_g1_i6	319	92.1021	8.7787	6.96447
TRINITY_DN1506_c0_g1_i1	1403	1135.51	111.755	7.19127
TRINITY_DN1506_c0_g1_i11	2822	2554.51	280.444	8.02169
TRINITY_DN1506_c0_g1_i4	4207	3939.51	9.26393	0.171823
TRINITY_DN1506_c0_g1_i7	4297	4029.51	184.227	3.34063
