target_id	length	eff_length	est_counts	tpm
TRINITY_DN30031_c0_g1_i1	1426	1114.09	769	39.9966
TRINITY_DN30050_c0_g1_i1	406	127.889	5	2.26546
TRINITY_DN30003_c0_g1_i1	590	285.717	7	1.41965
TRINITY_DN30023_c0_g1_i1	294	55.5855	0	0
TRINITY_DN30057_c0_g1_i1	2032	1720.09	4040	136.097
TRINITY_DN30090_c0_g1_i1	307	62.5336	3	2.77988
TRINITY_DN30008_c0_g1_i1	367	100.073	3	1.73709
TRINITY_DN30083_c0_g1_i1	335	79.1412	3	2.19653
TRINITY_DN30061_c0_g1_i1	609	303.666	8	1.52655
TRINITY_DN30032_c0_g1_i1	700	391.194	12	1.77749
TRINITY_DN30086_c0_g1_i1	679	370.704	13	2.03205
TRINITY_DN30091_c0_g1_i1	224	27.5146	2	4.21197
TRINITY_DN30020_c0_g1_i1	485	191.626	4	1.20955
TRINITY_DN30081_c0_g1_i1	258	39.2878	4	5.89957
TRINITY_DN30085_c0_g1_i1	860	548.969	8	0.844424
TRINITY_DN30073_c0_g1_i1	650	342.751	9	1.52153
TRINITY_DN30075_c0_g1_i1	309	63.6819	1	0.909917
TRINITY_DN30089_c0_g1_i1	463	172.975	5	1.67496
TRINITY_DN30048_c0_g1_i1	545	244.466	12.757	3.02377
TRINITY_DN30019_c0_g1_i1	1001	689.092	530	44.5673
TRINITY_DN30014_c0_g1_i1	1271	959.092	475	28.698
TRINITY_DN30037_c0_g1_i1	1171	859.092	10264	692.301
TRINITY_DN30074_c0_g1_i1	268	43.5266	4	5.32505
TRINITY_DN30007_c0_g1_i1	615	309.348	5	0.936571
TRINITY_DN30041_c0_g1_i1	351	89.3796	3	1.94491
TRINITY_DN30013_c0_g1_i1	303	60.2356	3	2.88593
TRINITY_DN30026_c0_g1_i1	267	43.041	2	2.69256
TRINITY_DN30082_c0_g1_i1	419	137.86	10	4.20318
TRINITY_DN30079_c0_g1_i1	1105	793.092	14	1.02287
TRINITY_DN30009_c0_g1_i1	585	281.035	99	20.4124
TRINITY_DN30078_c0_g1_i1	1331	1019.09	1389	78.9781
TRINITY_DN30080_c0_g1_i1	1166	854.092	731	49.5942
TRINITY_DN30030_c0_g1_i1	3128	2816.09	135.396	2.78597
TRINITY_DN30011_c0_g1_i1	297	57.0773	4	4.06082
TRINITY_DN30097_c0_g1_i1	586	281.977	10	2.05496
TRINITY_DN30033_c0_g1_i1	422	140.257	10	4.13137
TRINITY_DN30017_c0_g1_i1	546	245.36	6	1.41699
TRINITY_DN30039_c0_g1_i1	248	35.4721	1	1.63354
TRINITY_DN30004_c0_g1_i1	346	86.2009	5	3.36106
TRINITY_DN30094_c0_g1_i1	266	42.5963	3	4.081
TRINITY_DN30093_c0_g1_i1	1008	696.092	13	1.08217
TRINITY_DN30053_c0_g1_i1	210	23.7828	1	2.43643
TRINITY_DN30006_c0_g1_i1	344	84.9113	5	3.41211
