target_id	length	eff_length	est_counts	tpm
TRINITY_DN30031_c0_g1_i1	212	28.0193	2	4.8876
TRINITY_DN30050_c0_g1_i1	214	28.8009	3	7.13243
TRINITY_DN30003_c0_g1_i1	247	42.4902	2	3.22303
TRINITY_DN30046_c0_g1_i1	237	37.976	2	3.60614
TRINITY_DN30090_c0_g1_i1	213	28.41	2	4.82038
TRINITY_DN30008_c0_g1_i1	405	147.96	3	1.38835
TRINITY_DN30083_c0_g1_i1	219	30.6793	2	4.46382
TRINITY_DN30061_c0_g1_i1	219	30.6793	1	2.23191
TRINITY_DN30032_c0_g1_i1	362	114.27	3	1.79767
TRINITY_DN30086_c0_g1_i1	239	38.8768	2	3.52259
TRINITY_DN30028_c0_g1_i1	367	117.991	4	2.32132
TRINITY_DN30091_c0_g1_i1	372	121.886	8	4.49427
TRINITY_DN30020_c0_g1_i1	210	27.2865	2	5.01886
TRINITY_DN30016_c0_g1_i1	264	50.8877	2	2.69116
TRINITY_DN30081_c0_g1_i1	359	112.034	2	1.22237
TRINITY_DN30085_c0_g1_i1	301	72.0069	5	4.75465
TRINITY_DN30073_c0_g1_i1	246	42.0303	3	4.88744
TRINITY_DN30075_c0_g1_i1	242	40.2582	5	8.50429
TRINITY_DN30089_c0_g1_i1	261	49.4214	3	4.15651
TRINITY_DN30048_c0_g1_i1	289	64.7068	3	3.17464
TRINITY_DN30063_c0_g1_i1	409	151.221	5	2.26402
TRINITY_DN30019_c0_g1_i1	264	50.8877	2	2.69116
TRINITY_DN30052_c0_g1_i1	233	36.3577	2	3.76666
TRINITY_DN30037_c0_g1_i1	259	48.3518	3	4.24846
TRINITY_DN30074_c0_g1_i1	203	24.9209	3	8.24289
TRINITY_DN30007_c0_g1_i1	379	127.333	4	2.15101
TRINITY_DN30013_c0_g1_i1	312	79.0405	4	3.46524
TRINITY_DN30026_c0_g1_i1	286	62.9189	3	3.26485
TRINITY_DN30082_c0_g1_i1	501	232.635	4	1.17735
TRINITY_DN30079_c0_g1_i1	220	31.0536	2	4.41002
TRINITY_DN30009_c0_g1_i1	259	48.3518	6.92234	9.80309
TRINITY_DN30078_c0_g1_i1	229	34.6404	2	3.95339
TRINITY_DN30080_c0_g1_i1	251	44.3984	0	0
TRINITY_DN30030_c0_g1_i1	207	26.2412	2	5.21878
TRINITY_DN30011_c0_g1_i1	205	25.6113	1	2.67356
TRINITY_DN30051_c0_g1_i1	232	35.9289	2	3.81162
TRINITY_DN30097_c0_g1_i1	505	236.321	3	0.869243
TRINITY_DN30033_c0_g1_i1	273	55.6101	3	3.69395
TRINITY_DN30042_c0_g1_i1	319	83.6778	1	0.8183
TRINITY_DN30017_c0_g1_i1	283	61.1275	2	2.24035
TRINITY_DN30039_c0_g1_i1	344	101	4	2.71184
TRINITY_DN30004_c0_g1_i1	238	38.4343	3	5.34472
TRINITY_DN30094_c0_g1_i1	203	24.9209	2	5.49526
TRINITY_DN30066_c0_g1_i1	230	35.0571	2	3.9064
TRINITY_DN30093_c0_g1_i1	220	31.0536	2	4.41002
TRINITY_DN30053_c0_g1_i1	201	24.242	3	8.47375
TRINITY_DN30067_c0_g1_i1	312	79.0405	3	2.59893
TRINITY_DN30006_c0_g1_i1	221	31.4372	2	4.35621
TRINITY_DN30005_c0_g1_i1	240	39.3197	3	5.22437
TRINITY_DN30087_c0_g1_i1	362	114.27	6	3.59535
TRINITY_DN30070_c0_g1_i1	856	581.288	30	3.53389
TRINITY_DN30095_c0_g1_i1	235	37.1378	2	3.68754
