target_id	length	eff_length	est_counts	tpm
TRINITY_DN30031_c0_g1_i1	436	166.594	3.55603	1.64957
TRINITY_DN30050_c0_g1_i1	203	24.6894	3	9.39023
TRINITY_DN30003_c0_g1_i1	471	196.165	10	3.93952
TRINITY_DN30046_c0_g1_i1	312	76.4471	4	4.04356
TRINITY_DN30023_c0_g1_i1	840	551.853	672	94.1046
TRINITY_DN30057_c0_g1_i1	918	629.77	10	1.22711
TRINITY_DN30090_c0_g1_i1	340	94.2748	4	3.27891
TRINITY_DN30008_c0_g1_i1	242	39.3434	3	5.8927
TRINITY_DN30083_c0_g1_i1	237	37.3129	2	4.14225
TRINITY_DN30061_c0_g1_i1	895	606.795	16	2.03771
TRINITY_DN30032_c0_g1_i1	432	163.238	2	0.946835
TRINITY_DN30028_c0_g1_i1	280	57.7861	3	4.01202
TRINITY_DN30091_c0_g1_i1	500	221.636	5	1.74339
TRINITY_DN30020_c0_g1_i1	294	65.7614	5	5.87576
TRINITY_DN30081_c0_g1_i1	548	265.341	4	1.16499
TRINITY_DN30085_c0_g1_i1	267	50.9773	2	3.03192
TRINITY_DN30073_c0_g1_i1	289	62.8955	3	3.6861
TRINITY_DN30075_c0_g1_i1	290	63.4815	6	7.30413
TRINITY_DN30089_c0_g1_i1	1379	1090.76	22	1.55869
TRINITY_DN30048_c0_g1_i1	961	672.757	877	100.741
TRINITY_DN30063_c0_g1_i1	323	83.2805	3	2.78383
TRINITY_DN30019_c0_g1_i1	259	47.2114	2	3.27377
TRINITY_DN30052_c0_g1_i1	507	227.922	7	2.37343
TRINITY_DN30037_c0_g1_i1	263	48.9732	2	3.156
TRINITY_DN30074_c0_g1_i1	338	93.0046	3	2.49277
TRINITY_DN30007_c0_g1_i1	430	161.637	7	3.34674
TRINITY_DN30041_c0_g1_i1	505	226.095	5	1.70901
TRINITY_DN30013_c0_g1_i1	429	160.802	3	1.44176
TRINITY_DN30082_c0_g1_i1	241	38.896	2	3.97365
TRINITY_DN30079_c0_g1_i1	252	43.8276	2	3.52653
TRINITY_DN30009_c0_g1_i1	267	50.9773	2	3.03192
TRINITY_DN30078_c0_g1_i1	356	105.287	4	2.93596
TRINITY_DN30080_c0_g1_i1	715	427.277	12	2.17038
TRINITY_DN30030_c0_g1_i1	318	80.1624	1	0.964038
TRINITY_DN30011_c0_g1_i1	254	44.7634	2	3.4528
TRINITY_DN30051_c0_g1_i1	404	140.905	3	1.64536
TRINITY_DN30097_c0_g1_i1	301	69.8412	2	2.21301
TRINITY_DN30042_c0_g1_i1	354	103.834	3	2.23278
TRINITY_DN30017_c0_g1_i1	376	119.681	6	3.87427
TRINITY_DN30039_c0_g1_i1	400	137.766	4	2.2438
TRINITY_DN30004_c0_g1_i1	391	130.815	4	2.36302
TRINITY_DN30094_c0_g1_i1	792	503.915	9.24399	1.41764
TRINITY_DN30066_c0_g1_i1	547	264.395	6	1.75373
TRINITY_DN30093_c0_g1_i1	453	180.796	4.0137	1.71562
TRINITY_DN30067_c0_g1_i1	377	120.377	4	2.56793
TRINITY_DN30006_c0_g1_i1	636	349.572	9	1.98962
TRINITY_DN30005_c0_g1_i1	375	118.945	5	3.24854
TRINITY_DN30070_c0_g1_i1	338	93.0046	5	4.15461
TRINITY_DN30056_c0_g1_i1	430	161.637	8	3.82485
TRINITY_DN30095_c0_g1_i1	1891	1602.76	48.0111	2.31493
TRINITY_DN30024_c0_g1_i1	347	99.0498	5	3.90105
TRINITY_DN30045_c0_g1_i1	347	99.0498	4	3.12084
TRINITY_DN30076_c0_g1_i1	274	54.6547	0	0
TRINITY_DN30099_c0_g1_i1	713	425.294	14	2.54392
TRINITY_DN30002_c0_g1_i1	291	64.0155	3	3.6216
TRINITY_DN30092_c0_g1_i1	657	370.095	27.9592	5.83815
TRINITY_DN30044_c0_g1_i1	296	66.9618	2	2.30817
TRINITY_DN30055_c0_g1_i1	507	227.922	5	1.69531
TRINITY_DN30001_c0_g1_i1	376	119.681	4.00138	2.58374
TRINITY_DN30064_c0_g1_i1	379	121.795	4	2.53802
TRINITY_DN30069_c0_g1_i1	784	495.915	7	1.09083
TRINITY_DN30054_c0_g1_i1	207	25.913	1	2.98227
TRINITY_DN30010_c0_g1_i1	987	698.757	11	1.21655
TRINITY_DN30018_c0_g1_i1	732	444.12	25	4.35015
TRINITY_DN30012_c0_g1_i1	498	219.773	8.35389	2.93751
TRINITY_DN30000_c0_g1_i1	431	162.415	4	1.90327
TRINITY_DN30071_c0_g1_i1	701	413.436	9	1.68228
TRINITY_DN30060_c0_g1_i1	715	427.277	520	94.05
TRINITY_DN30072_c0_g1_i1	280	57.7861	0	0
TRINITY_DN30027_c0_g1_i1	218	29.8966	3	7.75469
TRINITY_DN30022_c0_g1_i1	1331	1042.76	12	0.88933
TRINITY_DN30088_c0_g1_i1	877	588.819	13	1.70619
TRINITY_DN30036_c0_g1_i1	827	538.853	11	1.57756
TRINITY_DN30049_c0_g1_i1	555	271.948	6	1.70502
TRINITY_DN30062_c0_g1_i1	617	331.123	8	1.86709
TRINITY_DN30038_c0_g1_i1	323	83.2805	2	1.85589
TRINITY_DN30021_c0_g1_i1	277	56.2311	3	4.12297
TRINITY_DN30068_c0_g1_i1	214	28.4789	2	5.42714
TRINITY_DN30058_c0_g1_i1	285	60.6541	3	3.82231
TRINITY_DN30043_c0_g1_i1	675	387.701	9	1.79395
TRINITY_DN30035_c0_g1_i1	294	65.7614	1	1.17515
TRINITY_DN30059_c0_g1_i1	1012	723.757	13.0133	1.3895
TRINITY_DN30098_c0_g1_i1	274	54.6547	3	4.24188
TRINITY_DN30096_c0_g1_i1	356	105.287	5	3.66995
TRINITY_DN30029_c0_g1_i1	233	35.8378	4.00876	8.64438
TRINITY_DN30015_c0_g1_i1	500	221.636	5	1.74339
TRINITY_DN30040_c0_g1_i1	324	83.9479	5	4.60283
TRINITY_DN30084_c0_g1_i1	640	353.516	6	1.31162
TRINITY_DN30065_c0_g1_i1	717	429.268	15	2.70039
TRINITY_DN1548_c0_g1_i1	2089	1800.76	1555	66.7329
TRINITY_DN1532_c0_g1_i5	7127	6838.76	567.091	6.40826
TRINITY_DN1532_c0_g1_i2	7553	7264.76	61.9844	0.659365
TRINITY_DN1532_c0_g1_i7	7231	6942.76	962.068	10.7087
TRINITY_DN1532_c0_g1_i9	7657	7368.76	107.515	1.12756
TRINITY_DN1532_c0_g1_i8	7931	7642.76	102.299	1.0344
TRINITY_DN1532_c0_g1_i1	8083	7794.76	740.541	7.34194
TRINITY_DN1532_c0_g1_i4	4012	3723.76	154.355	3.20334
TRINITY_DN1532_c0_g1_i3	956	667.757	118.619	13.7278
TRINITY_DN1532_c0_g1_i6	3982	3693.76	156.283	3.2697
TRINITY_DN1589_c0_g1_i2	3885	3596.76	656.435	14.1041
TRINITY_DN1589_c0_g1_i3	3918	3629.76	87.3803	1.86038
TRINITY_DN1589_c0_g1_i4	3902	3613.76	138.399	2.95963
TRINITY_DN1589_c0_g1_i1	3869	3580.76	1033.79	22.3111
TRINITY_DN1568_c0_g1_i1	710	422.319	8.19154	1.49896
TRINITY_DN1568_c0_g1_i3	2177	1888.76	281.221	11.5063
TRINITY_DN1568_c0_g1_i2	2189	1900.76	392.588	15.9615
TRINITY_DN1546_c0_g1_i1	955	666.757	117	13.5607
TRINITY_DN1546_c0_g2_i2	713	425.294	47.3989	8.61279
TRINITY_DN1546_c0_g2_i3	695	407.494	42.1224	7.98835
TRINITY_DN1546_c0_g2_i1	333	89.7684	0	0
TRINITY_DN1546_c0_g3_i1	1161	872.757	92.1687	8.16122
TRINITY_DN1546_c0_g3_i2	1061	772.757	13.5984	1.3599
TRINITY_DN1546_c0_g4_i1	837	548.853	109.298	15.3894
TRINITY_DN1546_c0_g5_i1	576	291.822	16.3544	4.33092
TRINITY_DN1546_c1_g1_i1	536	254.153	21.8558	6.64564
TRINITY_DN1500_c0_g1_i5	2238	1949.76	51.5759	2.04424
TRINITY_DN1500_c0_g1_i4	2171	1882.76	528.675	21.7
TRINITY_DN1500_c0_g1_i3	2441	2152.76	220.458	7.91398
TRINITY_DN1500_c0_g1_i1	2198	1909.76	41.0667	1.66179
TRINITY_DN1500_c0_g1_i2	2283	1994.76	176.225	6.82718
TRINITY_DN1588_c0_g1_i8	7269	6980.76	105.554	1.16852
TRINITY_DN1588_c0_g1_i6	7390	7101.76	174.066	1.89414
TRINITY_DN1588_c0_g1_i2	7452	7163.76	69.2148	0.74666
TRINITY_DN1588_c0_g1_i5	4844	4555.76	159.341	2.70291
TRINITY_DN1588_c0_g1_i1	7644	7355.76	90.0398	0.945958
TRINITY_DN1588_c0_g1_i9	1861	1572.76	13.0426	0.640866
TRINITY_DN1588_c0_g1_i3	7461	7172.76	136.246	1.46792
TRINITY_DN1588_c0_g1_i7	7582	7293.76	220.496	2.33623
TRINITY_DN1588_c0_g2_i1	408	144.042	4	2.14603
TRINITY_DN1561_c0_g1_i1	379	121.795	50	31.7252
TRINITY_DN1587_c0_g1_i1	2008	1719.76	190.213	8.54749
TRINITY_DN1587_c0_g1_i2	2019	1730.76	181.813	8.11806
TRINITY_DN1530_c0_g1_i1	1994	1705.76	1665	75.4331
TRINITY_DN1571_c0_g1_i2	2431	2142.76	38.7564	1.39777
TRINITY_DN1571_c0_g1_i1	2413	2124.76	359.244	13.0661
