Molecule	gene	start	end	strand	direction
Vespula germanica	Abd-B	1	5	forward	1
Vespula germanica	abd-A	6	10	forward	1
Vespula germanica	Ubx	11	15	forward	1
Vespula germanica	Antp	16	20	forward	1
Vespula germanica	zen	21	25	forward	1
Vespula germanica	ftz	26	30	forward	1
Vespula germanica	Scr	31	35	forward	1
Vespula germanica	Dfd	36	40	forward	1
Vespula germanica	zen	41	45	forward	1
Vespula germanica	Pb	46	50	forward	1
Vespula germanica	lab	51	55	forward	1
Bombus hortorum	Abd-B	1	5	forward	1
Bombus hortorum	abd-A	6	10	forward	1
Bombus hortorum	Ubx	11	15	forward	1
Bombus hortorum	Antp	16	20	forward	1
Bombus hortorum	ftz	21	25	forward	1
Bombus hortorum	Scr	26	30	forward	1
Bombus hortorum	Dfd	31	35	forward	1
Bombus hortorum	zen	36	40	forward	1
Bombus hortorum	Pb	41	45	forward	1
Bombus hortorum	lab	46	50	forward	1
Bombus campestris	Abd-B	1	5	forward	1
Bombus campestris	abd-A	6	10	forward	1
Bombus campestris	Ubx	11	15	forward	1
Bombus campestris	Antp	16	20	forward	1
Bombus campestris	ftz	21	25	forward	1
Bombus campestris	Scr	26	30	forward	1
Bombus campestris	Dfd	31	35	forward	1
Bombus campestris	zen	36	40	forward	1
Bombus campestris	Pb	41	45	forward	1
Bombus campestris	lab	46	50	forward	1
Bombus pascuorum	lab	1	5	forward	1
Bombus pascuorum	Pb	6	10	forward	1
Bombus pascuorum	zen	11	15	forward	1
Bombus pascuorum	Dfd	16	20	forward	1
Bombus pascuorum	Scr	21	25	forward	1
Bombus pascuorum	ftz	26	30	forward	1
Bombus pascuorum	Antp	31	35	forward	1
Bombus pascuorum	Ubx	36	40	forward	1
Bombus pascuorum	abd-A	41	45	forward	1
Bombus pascuorum	Abd-B	46	50	forward	1
Pyrochroa serraticornis	Pb	1	5	forward	1
Pyrochroa serraticornis	zen	6	10	forward	1
Pyrochroa serraticornis	zen	11	15	forward	1
Pyrochroa serraticornis	zen	16	20	forward	1
Pyrochroa serraticornis	lab	21	25	forward	1
Pyrochroa serraticornis	Pb	26	30	forward	1
Pyrochroa serraticornis	abd-A	31	35	forward	1
Pyrochroa serraticornis	zen	36	40	forward	1
Pyrochroa serraticornis	zen	41	45	forward	1
Pyrochroa serraticornis	zen	46	50	forward	1
Pyrochroa serraticornis	Dfd	51	55	forward	1
Pyrochroa serraticornis	Scr	56	60	forward	1
Pyrochroa serraticornis	ftz	61	65	forward	1
Pyrochroa serraticornis	Antp	66	70	forward	1
Pyrochroa serraticornis	Ubx	71	75	forward	1
Pyrochroa serraticornis	abd-A	76	80	forward	1
Pyrochroa serraticornis	Abd-B	81	85	forward	1
Pyrochroa serraticornis	zen	86	90	forward	1
Pyrochroa serraticornis	ftz	91	95	forward	1
Pyrochroa serraticornis	ftz	96	100	forward	1
Pyrochroa serraticornis	ftz	101	105	forward	1
