target_id	length	eff_length	est_counts	tpm
TRINITY_DN30050_c0_g1_i1	528	253.266	4.82152	1.39719
TRINITY_DN30003_c0_g1_i1	369	117.763	3.07406	1.91582
TRINITY_DN30023_c0_g1_i1	342	98.6681	4	2.97532
TRINITY_DN30057_c0_g1_i1	220	31.8505	3	6.91281
TRINITY_DN30101_c0_g1_i1	348	102.859	2	1.42704
TRINITY_DN30090_c0_g1_i1	269	53.7554	2	2.7306
TRINITY_DN30008_c0_g1_i1	214	29.6089	2	4.95744
TRINITY_DN30061_c0_g1_i1	253	45.2354	2	3.2449
TRINITY_DN30086_c0_g1_i1	423	160.011	5	2.29334
TRINITY_DN30028_c0_g1_i1	572	295.118	5	1.24344
TRINITY_DN30091_c0_g1_i1	256	46.7107	2	3.14241
TRINITY_DN30020_c0_g1_i1	297	69.8299	2	2.10203
TRINITY_DN30016_c0_g1_i1	476	205.567	3.00129	1.07153
TRINITY_DN30081_c0_g1_i1	521	246.776	5	1.48702
TRINITY_DN30085_c0_g1_i1	413	151.763	5	2.41799
TRINITY_DN30073_c0_g1_i1	209	27.6273	2	5.31303
TRINITY_DN30075_c0_g1_i1	305	74.7832	3	2.9442
TRINITY_DN30063_c0_g1_i1	204	25.5622	3	8.61337
TRINITY_DN30019_c0_g1_i1	270	54.3543	3	4.05077
TRINITY_DN30014_c0_g1_i1	203	25.1987	1	2.91254
TRINITY_DN30052_c0_g1_i1	243	41.1604	2	3.56616
TRINITY_DN30037_c0_g1_i1	438	172.623	4	1.70063
TRINITY_DN30074_c0_g1_i1	279	59.524	3	3.69895
TRINITY_DN30041_c0_g1_i1	402	143.075	4	2.05186
TRINITY_DN30013_c0_g1_i1	780	500.561	6.00473	0.880414
TRINITY_DN30026_c0_g1_i1	435	170.098	5	2.15735
TRINITY_DN30082_c0_g1_i1	233	36.9952	2	3.96766
TRINITY_DN30079_c0_g1_i1	463	194.158	4	1.51201
TRINITY_DN30009_c0_g1_i1	224	33.4463	2	4.38865
TRINITY_DN30078_c0_g1_i1	234	37.4505	3	5.87913
TRINITY_DN30080_c0_g1_i1	367	116.307	2	1.26204
TRINITY_DN30030_c0_g1_i1	263	50.3419	2	2.91575
TRINITY_DN30011_c0_g1_i1	222	32.6798	1	2.2458
TRINITY_DN30051_c0_g1_i1	367	116.307	4	2.52409
TRINITY_DN30097_c0_g1_i1	224	33.4463	2	4.38865
TRINITY_DN30033_c0_g1_i1	320	84.2878	4	3.48293
TRINITY_DN30042_c0_g1_i1	223	33.0149	2	4.446
TRINITY_DN30017_c0_g1_i1	335	93.8763	5	3.90899
TRINITY_DN30066_c0_g1_i1	295	68.6108	2	2.13938
TRINITY_DN30093_c0_g1_i1	360	111.247	4	2.6389
TRINITY_DN30053_c0_g1_i1	270	54.3543	2	2.70051
TRINITY_DN30067_c0_g1_i1	273	56.0993	2	2.61651
TRINITY_DN30006_c0_g1_i1	398	139.914	4	2.09821
TRINITY_DN30005_c0_g1_i1	395	137.543	4	2.13438
TRINITY_DN30087_c0_g1_i1	610	331.968	7	1.54758
TRINITY_DN30070_c0_g1_i1	216	30.2903	2	4.84591
TRINITY_DN30095_c0_g1_i1	390	133.559	2	1.09902
TRINITY_DN30025_c0_g1_i1	286	63.4618	2	2.31296
TRINITY_DN30024_c0_g1_i1	269	53.7554	2	2.7306
TRINITY_DN30077_c0_g1_i1	225	33.7434	2	4.35001
TRINITY_DN30076_c0_g1_i1	429	165.022	4	1.77897
TRINITY_DN30099_c0_g1_i1	481	210.021	3	1.04836
TRINITY_DN30092_c0_g1_i1	283	61.7095	3	3.56795
TRINITY_DN30044_c0_g1_i1	274	56.6429	4	5.18279
TRINITY_DN30055_c0_g1_i1	355	107.714	3	2.04409
TRINITY_DN30064_c0_g1_i1	362	112.718	2	1.30222
TRINITY_DN30069_c0_g1_i1	392	135.15	4	2.17217
TRINITY_DN30034_c0_g1_i1	308	76.7066	3	2.87037
TRINITY_DN30100_c0_g1_i1	527	252.338	7	2.03594
TRINITY_DN30054_c0_g1_i1	295	68.6108	3	3.20906
TRINITY_DN30010_c0_g1_i1	407	147.021	4	1.99678
TRINITY_DN30018_c0_g1_i1	257	47.2037	3	4.66439
TRINITY_DN30012_c0_g1_i1	213	29.2482	2	5.01858
TRINITY_DN30027_c0_g1_i1	281	60.609	1	1.21091
TRINITY_DN30022_c0_g1_i1	447	180.342	4.29185	1.74662
TRINITY_DN30088_c0_g1_i1	287	64.0801	4	4.58128
TRINITY_DN30036_c0_g1_i1	271	54.9248	3	4.00869
TRINITY_DN30049_c0_g1_i1	277	58.3352	3	3.77433
TRINITY_DN30062_c0_g1_i1	306	75.4204	5.01809	4.88314
TRINITY_DN30102_c0_g1_i1	307	76.0365	3	2.89567
TRINITY_DN30038_c0_g1_i1	291	66.3459	2	2.21241
TRINITY_DN30021_c0_g1_i1	204	25.5622	3	8.61337
TRINITY_DN30068_c0_g1_i1	363	113.41	3	1.94142
TRINITY_DN30058_c0_g1_i1	345	100.784	3	2.18464
TRINITY_DN30043_c0_g1_i1	629	350.623	5	1.0466
TRINITY_DN30035_c0_g1_i1	289	65.2378	4	4.49998
TRINITY_DN30059_c0_g1_i1	381	126.797	3	1.73645
TRINITY_DN30096_c0_g1_i1	222	32.6798	2	4.49159
TRINITY_DN30029_c0_g1_i1	251	44.4055	4	6.61109
TRINITY_DN30015_c0_g1_i1	291	66.3459	3	3.31861
TRINITY_DN30040_c0_g1_i1	390	133.559	4	2.19805
TRINITY_DN30065_c0_g1_i1	388	131.991	5	2.7802
TRINITY_DN1548_c0_g1_i2	1181	901.523	159.051	12.9482
TRINITY_DN1548_c0_g1_i1	1747	1467.52	157.949	7.89917
TRINITY_DN1532_c0_g1_i7	5242	4962.52	168.175	2.48719
TRINITY_DN1532_c0_g1_i3	4664	4384.52	82.4087	1.37943
TRINITY_DN1532_c0_g1_i1	3800	3520.52	212.405	4.42799
TRINITY_DN1532_c0_g1_i5	4679	4399.52	107.898	1.79994
TRINITY_DN1532_c0_g1_i8	5227	4947.52	133.032	1.97341
TRINITY_DN1532_c0_g1_i2	5215	4935.52	188.845	2.80817
TRINITY_DN1532_c0_g1_i6	5230	4950.52	238.032	3.52886
TRINITY_DN1532_c0_g1_i4	3815	3535.52	292.204	6.06572
TRINITY_DN1589_c0_g1_i6	5330	5050.52	281.439	4.08976
TRINITY_DN1589_c0_g1_i2	3832	3552.52	159.886	3.30312
TRINITY_DN1589_c0_g1_i5	5112	4832.52	189.669	2.88052
TRINITY_DN1589_c0_g1_i10	6389	6109.52	24.2565	0.291387
TRINITY_DN1589_c0_g1_i8	6390	6110.52	1127.83	13.5461
TRINITY_DN1589_c0_g1_i1	2134	1854.52	29.4137	1.16404
TRINITY_DN1589_c0_g1_i3	3250	2970.52	42.5226	1.0506
TRINITY_DN1589_c0_g1_i9	5315	5035.52	150.8	2.19789
TRINITY_DN1589_c0_g1_i7	548	272.095	8.44387	2.27757
TRINITY_DN1589_c0_g1_i4	3820	3540.52	696.814	14.4444
TRINITY_DN1589_c1_g1_i1	229	35.3975	1	2.07337
TRINITY_DN1589_c1_g2_i1	320	84.2878	1	0.870734
TRINITY_DN1568_c0_g1_i2	2500	2220.52	70.1131	2.31736
TRINITY_DN1568_c0_g1_i1	2408	2128.52	899.887	31.0284
TRINITY_DN1546_c0_g1_i9	5023	4743.52	243.001	3.75972
TRINITY_DN1546_c0_g1_i4	4993	4713.52	936.229	14.5776
TRINITY_DN1546_c0_g1_i5	6285	6005.52	209.684	2.5625
TRINITY_DN1546_c0_g1_i2	6315	6035.52	69.5269	0.84545
TRINITY_DN1546_c0_g1_i8	5016	4736.52	335.318	5.19573
TRINITY_DN1546_c0_g1_i3	6308	6028.52	93.2462	1.13519
TRINITY_DN1546_c0_g1_i6	4986	4706.52	1278.06	19.9297
TRINITY_DN1546_c0_g1_i7	2961	2681.52	843.385	23.0831
TRINITY_DN1546_c0_g1_i1	6278	5998.52	278.551	3.40808
TRINITY_DN1546_c1_g1_i1	341	98.0007	3	2.24668
TRINITY_DN1500_c0_g1_i1	3225	2945.52	2133.11	53.1496
TRINITY_DN1500_c0_g1_i2	3044	2764.52	956.892	25.4034
TRINITY_DN1588_c0_g1_i1	300	71.6722	3	3.072
TRINITY_DN1588_c0_g2_i1	2255	1975.52	787.557	29.2583
TRINITY_DN1588_c0_g2_i2	932	652.53	172.773	19.4323
TRINITY_DN1561_c0_g1_i3	1210	930.523	16.2336	1.28037
TRINITY_DN1561_c0_g1_i4	2238	1958.52	292.258	10.9519
TRINITY_DN1561_c0_g1_i1	3275	2995.52	754.752	18.4919
TRINITY_DN1561_c0_g1_i2	1213	933.523	176.933	13.9102
TRINITY_DN1561_c0_g2_i1	6562	6282.52	0	0
TRINITY_DN1561_c0_g2_i5	6562	6282.52	192.488	2.24863
TRINITY_DN1561_c0_g2_i4	5772	5492.52	134.512	1.79738
TRINITY_DN1561_c1_g1_i3	648	369.271	6.50617	1.29309
TRINITY_DN1561_c1_g1_i1	649	370.249	38.2923	7.59045
TRINITY_DN1561_c1_g1_i2	643	364.355	23.2015	4.67349
TRINITY_DN1561_c1_g1_i4	644	365.344	0	0
TRINITY_DN1561_c1_g2_i1	4911	4631.52	225.457	3.57264
TRINITY_DN1561_c1_g2_i2	4863	4583.52	85.4118	1.36763
TRINITY_DN1561_c1_g2_i3	4883	4603.52	249.131	3.9718
TRINITY_DN1587_c0_g1_i1	2060	1780.52	3854.77	158.892
TRINITY_DN1587_c0_g2_i1	808	528.535	11	1.52745
TRINITY_DN1587_c1_g1_i3	215	29.9768	0	0
TRINITY_DN1587_c1_g1_i1	334	93.2497	6	4.7223
TRINITY_DN1530_c0_g1_i1	3066	2786.52	1443	38.0061
TRINITY_DN1571_c0_g1_i2	3417	3137.52	656.1	15.3473
TRINITY_DN1571_c0_g1_i3	3620	3340.52	1018.36	22.3737
TRINITY_DN1571_c0_g1_i4	521	246.776	7.33211	2.1806
TRINITY_DN1571_c0_g1_i1	3392	3112.52	120.205	2.83438
TRINITY_DN1571_c0_g2_i1	320	84.2878	3	2.6122
TRINITY_DN1597_c0_g1_i1	1869	1589.52	929	42.8942
TRINITY_DN1564_c0_g1_i3	942	662.53	20.459	2.26636
TRINITY_DN1564_c0_g1_i4	1416	1136.52	38.4583	2.48349
TRINITY_DN1564_c0_g1_i1	891	611.53	22.0985	2.65213
TRINITY_DN1564_c0_g1_i6	1384	1104.52	2.60055e-06	1.72799e-07
